Course,PrerequisiteNumber,0,1,2,3,4,5,6,7,8,9
CS 100,0
CS 101,2,MATH 220,MATH 221
CS 102,0
CS 105,1,MATH 112
CS 107,0
CS 125,1,MATH 112
CS 126,1,CS 125
CS 173,4,CS 125,ECE 220,MATH 220,MATH 221
CS 196,0
CS 199,0
CS 210,1,CS 225
CS 225,4,CS 125,ECE 220,CS 173,MATH 213
CS 233,3,CS 125,CS 173,CS 225
CS 240,3,CS 225,CS 205,CS 110
CS 241,2,CS 225,CS 233
CS 242,1,CS 241
CS 296,0
CS 357,8,CS 101,CS 105,CS 125,MATH 241,MATH 225,MATH 415,MATH 416,ASRM 406
CS 361,5,MATH 220,MATH 221,MATH 225,MATH 415,MATH 416
CS 374,1,CS 225
CS 397,0
CS 398,0
CS 410,1,CS 225
CS 411,1,CS 225
CS 412,1,CS 225
CS 413,2,MATH 347,MATH 348
CS 414,2,CS 241,ECE 391
CS 418,4,CS 225,MATH 225,MATH 415,MATH 241
CS 419,1,CS 418
CS 420,1,CS 225
CS 421,3,CS 233,CS 240,CS 374
CS 422,1,CS 421
CS 423,2,CS 241,ECE 391
CS 424,1,CS 241
CS 425,2,CS 241,ECE 391
CS 426,1,CS 421
CS 427,2,CS 225,CS 373
CS 428,1,CS 427
CS 429,2,CS 427,CS 427
CS 431,2,CS 241,ECE 391
CS 433,1,CS 233
CS 436,1,CS 438
CS 438,5,CS 241,ECE 391,ECE 313,MATH 461,MATH 463
CS 439,5,CS 241,ECE 391,MATH 461,MATH 463,ECE 313
CS 440,2,CS 225,ECE 391
CS 445,3,CS 225,MATH 225,MATH 231
CS 446,2,CS 373,CS 440
CS 447,1,CS 374
CS 450,5,CS 101,CS 125,CS 357,MATH 415,MATH 285
CS 457,1,CS 357
CS 460,1,CS 461
CS 461,2,CS 241,ECE 391
CS 463,1,CS 461
CS 465,1,CS 225
CS 466,1,CS 225
CS 467,1,CS 225
CS 468,1,CS 225
CS 473,4,CS 374,CS 361,MATH 461,STAT 400
CS 475,1,CS 374
CS 476,3,CS 225,CS 374,MATH 414
CS 477,3,CS 225,CS 373,MATH 414
CS 481,1,IE 310
CS 482,2,CS 101,IE 310
CS 483,1,ECE 220
CS 484,1,CS 241
CS 491,0
CS 492,0
CS 493,2,CS 492,CS 492
CS 494,1,CS 492
CS 497,0
CS 498,0
CS 499,0
CS 508,2,ECE 408,CS 420
CS 510,4,CS 410,CS 412,CS 446,LING 406
CS 511,1,CS 411
CS 512,1,CS 412
CS 513,0
CS 519,1,CS 418
CS 522,2,CS 422,CS 426
CS 523,3,CS 423,CS 425,CS 433
CS 524,3,CS 422,CS 475,CS 476
CS 525,3,CS 423,CS 425,CS 438
CS 526,1,CS 426
CS 527,2,CS 428,CS 429
CS 528,1,CS 427
CS 533,1,CS 433
CS 536,1,ECE 411
CS 538,1,CS 438
CS 539,3,CS 473,ECE 428,ECE 438
CS 541,3,ECE 313,MATH 461,MATH 463
CS 543,2,ECE 448,CS 225
CS 544,2,CS 450,CS 473
CS 546,2,CS 446,CS 473
CS 547,1,CS 446
CS 548,2,CS 440,CS 446
CS 549,0
CS 554,3,CS 450,CS 457,CS 555
CS 555,2,CS 450,CS 457
CS 556,0
CS 558,0
CS 563,2,CS 461,CS 463
CS 565,1,CS 465
CS 571,0
CS 572,1,MATH 580
CS 573,0
CS 574,3,CS 473,MATH 461,STAT 400
CS 575,1,MATH 580
CS 576,0
CS 579,2,CS 473,CS 475
CS 581,3,CS 374,CS 361,STAT 361
CS 583,1,CS 573
CS 584,2,CS 476,CS 477
CS 585,0
CS 586,2,IE 411,CS 374
CS 591,0
CS 597,0
CS 598,0
CS 599,0
